date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:45:40	26669/26669	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2022:25:13%20GMT	https://chaesfood.com/	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/index.html	(from )
04:45:41	72/72	---M--	200	added ('OK')	text/plain	date:Wed,%2023%20Dec%202020%2023:02:58%20GMT	https://chaesfood.com/robots.txt		(from )
04:45:41	44209/44209	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Dec%202020%2021:58:06%20GMT	https://chaesfood.com/assets/img/logo/favicon.png	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/img/logo/favicon.png	(from https://chaesfood.com/)
04:45:41	57180/57180	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Dec%202020%2019:37:06%20GMT	https://chaesfood.com/assets/css/all.min.css	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/css/all.min.css	(from https://chaesfood.com/)
04:45:42	55753/55753	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Dec%202020%2019:37:09%20GMT	https://chaesfood.com/assets/css/fontawesome.min.css	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/css/fontawesome.min.css	(from https://chaesfood.com/)
04:45:42	16450/16450	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Dec%202020%2019:37:09%20GMT	https://chaesfood.com/assets/css/themify-icons.css	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/css/themify-icons.css	(from https://chaesfood.com/)
04:45:42	3351/3351	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Dec%202020%2019:37:11%20GMT	https://chaesfood.com/assets/css/owl.carousel.min.css	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/css/owl.carousel.min.css	(from https://chaesfood.com/)
04:45:42	4007/4007	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Dec%202020%2019:37:08%20GMT	https://chaesfood.com/assets/css/nice-select.css	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/css/nice-select.css	(from https://chaesfood.com/)
04:45:43	12795/12795	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Dec%202020%2019:37:05%20GMT	https://chaesfood.com/assets/css/jquery.fancybox.min.css	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/css/jquery.fancybox.min.css	(from https://chaesfood.com/)
04:45:43	144877/144877	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Dec%202020%2019:37:05%20GMT	https://chaesfood.com/assets/css/bootstrap.min.css	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/css/bootstrap.min.css	(from https://chaesfood.com/)
04:45:43	66123/66123	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Jan%202021%2022:52:04%20GMT	https://chaesfood.com/assets/css/style.css	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/css/style.css	(from https://chaesfood.com/)
04:45:43	12692/12692	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Dec%202020%2019:37:11%20GMT	https://chaesfood.com/assets/css/responsive.css	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/assets/css/responsive.css	(from https://chaesfood.com/)
04:45:44	26669/26669	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2022:25:13%20GMT	https://chaesfood.com/index.html	J:/workdrive/galico/chaesfood_portal/old%20site/cfood/chaesfood.com/index-2.html	(from https://chaesfood.com/)
